# q I sigma_original_independent_frame_assumption
1.780000000000000027e+00 2.853348928181818206e-02 7.143992299586334957e-03
1.810000000000000053e+00 2.426692008181817808e-02 8.656646671238936441e-03
1.840000000000000080e+00 1.853583205454545357e-02 8.821170322764783356e-03
1.870000000000000107e+00 1.423816471818181717e-02 9.694737955763544843e-03
1.899999999999999911e+00 1.130729650090909338e-02 9.973393752080434924e-03
1.929999999999999938e+00 5.773063183636364080e-03 1.163208644209851733e-02
1.959999999999999964e+00 2.091272612727272922e-03 1.023563348057529750e-02
1.989999999999999991e+00 -3.731032681818182328e-04 1.157135829450148083e-02
2.020000000000000018e+00 -2.601334693909090629e-03 6.055821586399673384e-01
2.049999999999999822e+00 -6.710035806363635197e-03 1.148158621782827127e-02
2.080000000000000071e+00 -7.559776001818180845e-03 2.636380626856369563e-02
2.109999999999999876e+00 -6.841676131818182766e-03 8.444250168411925397e-03
2.140000000000000124e+00 -9.317256962727272357e-03 1.324702864794301445e-02
2.169999999999999929e+00 -7.802001211818182166e-03 1.181900370688190698e-02
2.200000000000000178e+00 -6.920176154545454664e-03 1.027889867371124984e-02
2.229999999999999982e+00 -9.477409202727273344e-03 9.789970499715231270e-03
2.259999999999999787e+00 -8.227086509090909827e-03 8.438320153465801721e-03
2.290000000000000036e+00 -8.158530144545454374e-03 9.662545895971375032e-03
2.319999999999999840e+00 -6.011109504545453751e-03 7.619115091234185226e-03
2.350000000000000089e+00 -7.102658159090908391e-03 1.423783666927027139e-02
2.379999999999999893e+00 -6.929596342727273317e-03 8.884542921141798735e-03
2.410000000000000142e+00 -5.946473722727271989e-03 3.350450479179952618e-02
2.439999999999999947e+00 -4.239579517000000367e-03 7.026847257067649066e-02
2.470000000000000195e+00 -3.833088142727272829e-03 9.731009167705320650e-03
2.500000000000000000e+00 -5.310668557272727255e-03 6.443438982084424317e-03
2.529999999999999805e+00 -5.865685700000000495e-03 1.049441567751088072e-02
2.560000000000000053e+00 -5.474936684590908827e-03 9.575339345011407016e-03
2.589999999999999858e+00 -5.749264800909092109e-03 6.280316450884090677e-03
2.620000000000000107e+00 -5.167969859999999721e-03 6.948119132253260423e-03
2.649999999999999911e+00 -3.743415122727272292e-03 4.596211573919383592e-03
2.680000000000000160e+00 -5.090257439090908539e-03 7.287768285494379550e-02
2.709999999999999964e+00 -4.341365019636363523e-03 9.317489268249060097e-03
2.740000000000000213e+00 -6.665288069999999836e-03 8.242202596550689611e-03
2.770000000000000018e+00 -4.148395065454544596e-03 9.039194627814521252e-03
2.799999999999999822e+00 -3.772667270727273012e-03 5.534700504244698116e-03
2.830000000000000071e+00 -3.733003702545455334e-03 1.319166602554064892e-02
2.859999999999999876e+00 -4.839087416363636006e-03 2.006813747269657611e-02
2.890000000000000124e+00 -5.322225822727273334e-03 6.714018018035916059e-03
2.919999999999999929e+00 -4.216040988181818383e-03 4.775917268390894761e-03
2.950000000000000178e+00 -3.753584786363635580e-03 5.433196616421429037e-03
2.979999999999999982e+00 -3.864253141363635426e-03 9.400090618957855290e-03
3.009999999999999787e+00 -5.807468209881819048e-03 6.273579789721651402e-03
3.040000000000000036e+00 -3.576797511818181636e-03 4.608509217439566569e-03
3.069999999999999840e+00 -4.257472835909091070e-03 1.472841292920388373e-02
3.100000000000000089e+00 -2.202096043636363361e-03 4.071697265075184015e-03
3.129999999999999893e+00 -2.149767828181818607e-03 3.464906251089932936e-03
3.160000000000000142e+00 -7.484991339090908647e-04 3.750524643060151441e-03
3.189999999999999947e+00 -6.293786770909092637e-04 4.634322561247023430e-03
