# q I sigma_shared_baseline
1.900000000000000855e-01 9.966429865029671764e-02 7.411284009402699727e-03
1.950000000000000899e-01 9.615165741277087452e-02 7.482119082933239886e-03
2.000000000000000944e-01 9.628090825705078182e-02 7.022532770422344577e-03
2.050000000000000988e-01 1.031163607468061072e-01 7.155616504748755005e-03
2.100000000000001033e-01 8.201663697733707625e-02 7.044521655379590644e-03
2.150000000000001077e-01 7.053422432340124282e-02 6.903512156260659463e-03
2.200000000000001121e-01 6.851851910887585273e-02 6.825750179239382237e-03
2.250000000000001166e-01 7.462169539999347068e-02 6.747790030265106431e-03
2.300000000000001210e-01 7.330246931022552093e-02 6.692132590307119967e-03
2.350000000000001255e-01 6.563686811982256952e-02 6.587267354185246185e-03
2.400000000000001299e-01 7.915356629155773094e-02 6.908193309352142833e-03
2.450000000000001343e-01 6.564595299195033484e-02 7.211099830345275505e-03
2.500000000000001110e-01 6.084319811234623759e-02 6.885629081258917011e-03
2.550000000000001155e-01 5.861768301518612695e-02 7.134387516669198591e-03
2.600000000000001199e-01 5.140021784169617608e-02 7.086304690474627861e-03
2.650000000000001243e-01 4.587967153435199702e-02 7.417328927137214166e-03
2.700000000000001288e-01 5.519307838753776535e-02 7.493521271923251660e-03
2.750000000000001332e-01 3.967966259580305716e-02 7.096223114059521837e-03
2.800000000000001377e-01 4.626263297203228597e-02 7.852146357386980205e-03
2.850000000000001421e-01 3.668343111421724922e-02 7.308765018835207752e-03
2.900000000000001465e-01 3.951182167995746092e-02 7.640196074765300861e-03
2.950000000000001510e-01 4.295447943860675882e-02 7.672118096301485356e-03
3.000000000000001554e-01 3.848615205857312815e-02 7.552604513482552573e-03
3.050000000000001599e-01 3.513602286620167575e-02 7.765421124365358939e-03
3.100000000000001643e-01 4.468914190380226387e-02 7.362603760350987583e-03
3.150000000000001688e-01 4.956032517943445570e-02 7.504348543682046527e-03
3.200000000000001732e-01 3.409811678085711978e-02 6.861924151052489242e-03
3.250000000000001776e-01 3.743647378953753047e-02 6.997229475438229360e-03
3.300000000000001821e-01 3.403597324887637499e-02 7.089716673761227612e-03
3.350000000000001865e-01 3.806768134379782259e-02 6.852398684064202848e-03
3.400000000000001910e-01 3.742516217425940345e-02 6.986863679755010367e-03
3.450000000000001954e-01 3.827254515886834713e-02 6.959721811376466324e-03
3.500000000000001998e-01 3.441571149399248047e-02 6.620697524316040278e-03
3.550000000000002043e-01 3.848449887552039816e-02 7.200527177089704849e-03
3.600000000000002087e-01 3.486387125460516101e-02 6.626833942650347913e-03
