# q I sigma_shared_baseline
8.200000000000002842e-01 4.517661098612060083e-02 2.586138030870840151e-03
8.300000000000002931e-01 4.483343342609635851e-02 2.639906441378329742e-03
8.400000000000003020e-01 3.984617999861525539e-02 2.614711798840541924e-03
8.500000000000003109e-01 3.970143419690148195e-02 2.607677477159200691e-03
8.600000000000003197e-01 3.816989777283358309e-02 2.584347986890069091e-03
8.700000000000003286e-01 4.024763162418061591e-02 2.552937812861705378e-03
8.800000000000003375e-01 3.712037954752175906e-02 2.603226811990041762e-03
8.900000000000003464e-01 4.070074440298527413e-02 2.473088722217160664e-03
9.000000000000003553e-01 3.964010743442382412e-02 2.421305254888955327e-03
9.100000000000003642e-01 3.912308567710511692e-02 2.338396419224586433e-03
9.200000000000003730e-01 3.966635453142783319e-02 2.296747300365652514e-03
9.300000000000003819e-01 3.619228746479400544e-02 2.330462264644140094e-03
9.400000000000003908e-01 3.683061790367152255e-02 2.285081438632016997e-03
9.500000000000003997e-01 3.975525527891023148e-02 2.289454014814490575e-03
9.600000000000004086e-01 3.941042482427965787e-02 2.212990986553016546e-03
9.700000000000004174e-01 3.883114763959112647e-02 2.202978692485882406e-03
9.800000000000004263e-01 3.897075915454477346e-02 2.206183539616941858e-03
9.900000000000004352e-01 3.828555494374986240e-02 2.203175123578482442e-03
1.000000000000000000e+00 3.839766890155185686e-02 2.183497538244776829e-03
1.030000000000000027e+00 3.693755035527791081e-02 1.263962701193441403e-03
1.060000000000000053e+00 3.828260023171017185e-02 1.296822488095574150e-03
1.090000000000000080e+00 3.862404326515575526e-02 1.331635831658202658e-03
1.120000000000000107e+00 3.784300214684956087e-02 1.340885929712558886e-03
1.150000000000000133e+00 3.897885527574367764e-02 1.356339185797569846e-03
1.180000000000000160e+00 3.922024374292854693e-02 1.348566280146862783e-03
1.210000000000000187e+00 3.986003684533356156e-02 1.385809869526114305e-03
1.240000000000000213e+00 4.077021494701679738e-02 1.427536237401236772e-03
1.270000000000000240e+00 4.257124688724438916e-02 1.518271997642735641e-03
1.300000000000000266e+00 4.168013802613393382e-02 1.618643590299161236e-03
1.330000000000000293e+00 4.433002807210326135e-02 1.771026385056550861e-03
1.360000000000000320e+00 4.591111381658452562e-02 5.676151614062795343e-03
1.390000000000000346e+00 4.682014287325027974e-02 2.856833589134994966e-01
1.420000000000000373e+00 4.545366551501336255e-02 2.625263988364442014e-03
1.450000000000000400e+00 4.748329397318975381e-02 2.773483816738240605e-03
1.480000000000000426e+00 4.921248706794507238e-02 3.167811685717884795e-03
1.510000000000000453e+00 4.740417949691252270e-02 3.590541108171126615e-03
1.540000000000000480e+00 4.679421205100253028e-02 4.144637665415971950e-03
1.570000000000000506e+00 4.751017963241554315e-02 4.759654360762920720e-03
1.600000000000000533e+00 4.692103309254114230e-02 5.454380092141777707e-03
1.630000000000000560e+00 4.587665469774512839e-02 6.222000015490574201e-03
1.660000000000000586e+00 4.163401870302846364e-02 7.039042176735846139e-03
1.690000000000000613e+00 3.936882203547065889e-02 7.990692863058122125e-03
1.720000000000000639e+00 3.766370412732674561e-02 9.049267526736510039e-03
1.750000000000000666e+00 3.365758836533376541e-02 1.016601419149696685e-02
1.780000000000000693e+00 2.874966173110304890e-02 1.204634027981200083e-02
1.810000000000000719e+00 2.359418941419436783e-02 1.388268381325997482e-02
1.840000000000000746e+00 1.914543622833566119e-02 1.492986266515825000e-02
1.870000000000000773e+00 1.151078669477835319e-02 1.555721780993445276e-02
1.900000000000000799e+00 9.891531833540412322e-03 1.642999409205950570e-02
1.930000000000000826e+00 5.064998115827989804e-03 1.716343548591385548e-02
1.960000000000000853e+00 1.350323219284927084e-03 1.787375399988485464e-02
1.990000000000000879e+00 -1.245852463055104444e-03 1.861234345705444285e-02
2.020000000000000906e+00 -3.766069581421345458e-03 1.845962712826778457e-02
